passenger,name,package,luggage,station,bureau,address
True,兴安,False,False,True,南宁铁路局,广西兴安县兴桂路28号
True,海拉尔,True,True,True,哈尔滨铁路局,内蒙古自治区呼伦贝尔市海拉尔区靠山街60号
True,海林,True,True,True,哈尔滨铁路局,黑龙江省海林市海林镇
True,海伦,True,True,True,哈尔滨铁路局,黑龙江省绥化市海伦市 海伦镇
True,寒葱沟,False,False,True,哈尔滨铁路局,黑龙江省抚远市
True,东镇,False,False,True,太原铁路局,山西省闻喜县东镇西街
True,东庄站,False,False,True,太原铁路局,山西省忻州市繁峙县横涧乡小屯村
True,豆罗,False,False,True,太原铁路局,山西省忻州市忻府区豆罗镇
True,广安,False,False,True,成都铁路局,四川省广安市前锋区
True,广安南,False,False,True,成都铁路局,四川省广安市枣山镇
True,海宁站（既有）,True,True,True,上海铁路局,浙江省海宁市车站广场路1号
True,长兴南站（既有）,True,True,True,上海铁路局,浙江省湖州市长兴县金陵南路底
True,德清西站（既有）,False,False,True,上海铁路局,浙江省湖州市德清县永安街1号
True,阿尔山,True,True,True,沈阳铁路局,内蒙古自治区兴安盟阿尓山市
True,敖头,False,False,False,哈尔滨铁路局,黑龙江省海林市海南乡
True,八村,False,False,False,哈尔滨铁路局,黑龙江省大庆市大同区林源镇八村
True,八方,False,False,False,哈尔滨铁路局,黑龙江省讷河市六合镇八方车站
True,八虎力,False,False,False,哈尔滨铁路局,黑龙江省佳木斯市桦南县八虎力
True,白桦排,False,False,False,哈尔滨铁路局,黑龙江省大兴安岭地区加格达奇区白桦乡
True,别山,False,False,False,北京铁路局,天津市蓟县别山镇
True,曹子里,False,False,False,北京铁路局,天津市武清区曹子里乡
True,常村,False,False,False,北京铁路局,山西省潞城市辛安泉镇常村
True,超梁沟,False,False,False,北京铁路局,河北省承德市隆化县隆化镇超梁沟村
True,承德东,False,False,False,北京铁路局,河北省承德市双桥区太平庄村
True,昂乃,False,False,False,沈阳铁路局,内蒙古自治区通辽市奈曼旗昂乃村
True,敖汉,False,False,False,沈阳铁路局,内蒙古自治区赤峰市敖汉旗木头营子乡六组
True,敖来,False,False,False,沈阳铁路局,内蒙古自治区通辽市奈曼旗东明镇达木嘎村
True,八家子,False,False,False,沈阳铁路局,吉林省和龙市八家子镇
