start,code,end,train_no
上海南,K354,成都,550000K351B5
成都东,D354,上海虹桥,760000D35403
北京南,G355,厦门北,240000G35506
重庆北,K355,广州,770000K35805
厦门北,G356,北京南,5n0000G35604
广州,K356,重庆北,630000K3560B
广州,K357,重庆北,630000K3560B
重庆北,K358,广州,770000K35805
西安北,G359,上海虹桥,4f0000G36201
银川,K359,上海,870000K35963
上海,K360,银川,550000K36073
上海虹桥,G360,西安北,5l0000G36001
上海,K361,银川,550000K36073
上海虹桥,G361,西安北,5l0000G36001
成都东,D361,武汉,760000D36400
武汉,D362,成都东,4e0000D36200
西安北,G362,上海虹桥,4f0000G36201
银川,K362,上海,870000K35963
天津西,G363,武汉,250000G36302
武汉,D363,成都东,4e0000D36200
昆明,K363,广州,800000K3660P
武汉,G364,天津西,4e0000G36403
广州,K364,昆明,630000K36508
成都东,D364,武汉,760000D36400
哈尔滨,Z365,南京,010000Z36800
天津西,G365,武汉,250000G36505
广州,K365,昆明,630000K36508
成都东,D365,武汉,760000D36804
武汉,D366,成都东,4e0000D36606
,,,24000000G307
,,,24000000G307
,,,24000000G307
,,,
武汉,G366,天津西,4e0000G36602
南京,Z366,哈尔滨,540000Z36600
昆明,K366,广州,800000K3660P
郑州,G367,上海虹桥,380000G37010
西安,K367,敦煌,410000K36706
武汉,D367,成都东,4e0000D36606
南京,Z367,哈尔滨,540000Z36600
广州,T367,大连,630000T37002
哈尔滨,Z368,南京,010000Z36800
大连,T368,广州,130000T36905
上海虹桥,G368,郑州东,5l0000G36800
成都东,D368,武汉,760000D36804
敦煌,K368,西安,8b0000K36930
大连,T369,广州,130000T36905
上海虹桥,G369,郑州东,5l0000G36800
敦煌,K369,西安,8b0000K36930
郑州,G370,上海虹桥,380000G37010
西安,K370,敦煌,410000K36706
广州,T370,大连,630000T37002
太原,K371,上海,270000K3742O
上海,K372,太原,550000K37292
天津西,G373,哈尔滨西,250000G37309
上海,K373,太原,550000K37292
哈尔滨西,G374,天津西,0h0000G37407
太原,K374,上海,270000K3742O
天津西,G375,哈尔滨西,250000G37510
西宁,K375,上海,880000K3780L
哈尔滨西,G376,天津西,0h0000G37600
上海,K376,西宁,550000K37692
上海,K377,西宁,550000K37692
杭州东,D377,厦门北,560000D37763
厦门北,D378,上海虹桥,5n0000D3780B
西宁,K378,上海,880000K3780L
上海虹桥,D379,厦门北,5l0000D37961
张家界,K379,南宁,640000K37900
厦门北,D380,杭州东,5n0000D3800B
南宁,K380,张家界,710000K38000
北京南,G381,哈尔滨西,240000G38107
上海南,T381,昆明,550000T38122
上海虹桥,D381,莆田,5l0000D38183
哈尔滨西,G382,北京南,0h0000G38206
福州南,D382,上海虹桥,5n0000D3820E
昆明,T382,上海南,800000T38207
北京南,G383,吉林,240000G38307
三亚,Z383,长春,6b0000Z38601
长春,Z384,三亚,110000Z38403
吉林,G384,北京南,180000G3840A
长春,Z385,三亚,110000Z38403
沈阳北,K385,成都,120000K3880S
大连北,G385,北京南,1g0000G3850A
北京南,G386,大连北,240000G38709
三亚,Z386,长春,6b0000Z38601
成都,K386,沈阳北,760000K3860H
北京南,G387,大连北,240000G38709
成都,K387,沈阳北,760000K3860H
沈阳北,K388,成都,120000K3880S
大连北,G388,北京南,1g0000G3850A
大连北,G389,济南西,1g0000G38907
合肥,T389,西宁,530000T38911
福州,K389,成都,580000K39220
济南西,G390,大连北,4p0000G39006
成都,K390,福州,760000K3900J
西宁,T390,合肥,880000T39003
济南西,G391,大连北,4p0000G39006
成都,K391,福州,760000K3900J
大连北,G392,济南西,1g0000G38907
福州,K392,成都,580000K39220
北京南,G393,哈尔滨西,240000G39304
哈尔滨西,G394,北京南,0h0000G39402
北京南,G395,丹东,240000G39503
深圳,T395,青岛,650000T39804
丹东,G396,北京南,120000G39603
青岛,T396,深圳,490000T39606
